City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,tuktoyaktuk,40,CA,1551938400,77,69.44,-133.03,3.2,4.7
88,najran,40,SA,1551938400,18,17.54,44.22,62.6,6.93
89,cape town,75,ZA,1551940371,77,-33.93,18.42,69.01,5.82
90,east london,20,ZA,1551940441,100,-33.02,27.91,74.57,22.06
91,aquiraz,40,BR,1551940154,88,-3.9,-38.39,79.0,4.7
92,khatanga,68,RU,1551940614,77,71.98,102.47,2.08,11.21
93,barcelos,40,PT,1551940459,93,41.53,-8.62,50.0,8.05
94,puerto ayora,0,EC,1551940615,100,-0.74,-90.35,79.34,8.97
95,carutapera,88,BR,1551940615,100,-1.2,-46.02,72.64,7.18
96,zyryanka,0,RU,1551940615,69,65.73,150.89,1.63,4.5
97,iqaluit,75,CA,1551940366,75,63.75,-68.52,-20.01,25.28
98,sabaudia,0,IT,1551940569,58,41.3,13.03,60.8,8.05
99,tommot,76,RU,1551940616,63,58.97,126.27,24.89,6.17
100,broome,0,GB,1551940596,86,52.47,1.45,43.0,16.11
101,vaini,0,IN,1551938400,26,15.34,74.49,82.4,6.93
102,labuhan,36,ID,1551940617,64,-2.54,115.51,85.96,4.05
103,dikson,80,RU,1551940618,89,73.51,80.55,3.52,29.21
104,comodoro rivadavia,90,AR,1551938400,87,-45.87,-67.48,51.8,18.37
105,saint anthony,90,US,1551940534,93,43.97,-111.68,35.6,6.93
106,almeirim,20,PT,1551940444,87,39.21,-8.63,52.0,5.82
107,bosaso,0,SO,1551938400,83,11.28,49.18,80.6,2.93
108,buchanan,40,LR,1551938400,94,5.88,-10.05,77.0,6.29
109,siuna,76,NI,1551940619,71,13.73,-84.78,74.84,5.39
110,gbadolite,44,CD,1551940620,91,4.28,21.0,73.49,2.71
111,geraldton,20,CA,1551938400,64,49.72,-86.95,-4.01,5.82
112,faya,75,SA,1551938400,33,18.39,42.45,59.0,9.17
113,mahebourg,40,MU,1551940443,66,-20.41,57.7,86.0,6.93
114,salalah,0,OM,1551937800,65,17.01,54.1,80.6,8.05
115,loiza,20,PR,1551940515,83,18.43,-65.88,75.2,14.45
116,airai,92,TL,1551940621,96,-8.93,125.41,72.59,1.92
117,jamestown,0,AU,1551940365,42,-33.21,138.6,71.11,8.86
118,ximei,90,TW,1551940397,93,23.74,120.51,69.01,18.34
119,sayyan,0,YE,1551940623,64,15.17,44.32,64.04,3.6
120,angoche,36,MZ,1551940623,100,-16.23,39.91,77.41,7.4
121,bonfim,0,BR,1551938400,77,-20.33,-44.24,69.8,5.82
122,tuatapere,92,NZ,1551940209,95,-46.13,167.69,53.01,1.01
123,stadthagen,75,DE,1551940393,62,52.33,9.21,54.0,20.8
124,benguela,80,AO,1551940625,100,-12.58,13.4,75.61,4.94
125,kodiak,75,US,1551940624,71,39.95,-94.76,32.0,4.7
126,khandyga,88,RU,1551940625,73,62.65,135.58,2.98,3.15
127,sechura,92,PE,1551940626,78,-5.56,-80.82,77.14,8.52
128,ponta do sol,32,BR,1551940626,95,-20.63,-46.0,63.46,2.82
129,sokolo,0,ML,1551940626,31,14.74,-6.12,56.26,7.74
130,bonavista,0,CA,1551940245,83,48.65,-53.11,18.0,5.01
131,guerrero negro,0,MX,1551940627,95,27.97,-114.04,53.69,4.27
132,mashhad,40,IR,1551938400,71,36.3,59.61,50.0,4.7
133,acapulco,5,MX,1551937440,94,16.86,-99.88,75.2,4.7
134,kruisfontein,68,ZA,1551940628,82,-34.0,24.73,67.46,16.46
135,kiunga,76,PG,1551940628,87,-6.12,141.3,85.91,2.59
136,peniche,40,PT,1551940507,93,39.36,-9.38,52.0,3.36
137,bambous virieux,40,MU,1551940443,66,-20.34,57.76,86.0,6.93
138,hasaki,75,JP,1551940476,81,35.73,140.83,48.99,13.87
139,kirakira,8,SB,1551940629,99,-10.46,161.92,84.29,11.88
140,port elizabeth,1,US,1551940592,61,39.31,-74.98,24.8,7.4
141,madingou,56,CG,1551940630,95,-4.17,13.56,73.04,2.71
142,klaksvik,32,FO,1551939600,64,62.23,-6.59,35.6,6.93
143,raudeberg,75,NO,1551940503,64,61.99,5.14,39.2,4.7
144,prince rupert,1,CA,1551938400,100,54.32,-130.32,32.0,9.17
145,banyo,0,CM,1551940631,54,6.75,11.81,63.37,2.48
146,hambantota,75,LK,1551939000,79,6.12,81.12,87.8,4.7
147,lebu,0,ET,1551940572,72,8.96,38.73,59.41,3.71
148,aripuana,44,BR,1551940632,91,-9.17,-60.63,76.42,2.59
149,colares,20,PT,1551940498,87,38.8,-9.45,52.0,5.82
150,san roque,75,EC,1551938400,93,0.3,-78.23,57.2,4.7
151,stykkisholmur,0,IS,1551940634,100,65.08,-22.73,24.44,9.86
152,half moon bay,75,US,1551940628,93,37.46,-122.43,53.6,4.7
153,poum,8,MK,1551940635,80,41.28,20.71,25.52,1.7
154,zabkowice slaskie,0,PL,1551940629,75,50.59,16.81,46.0,9.17
155,tubuala,20,PA,1551940250,69,9.52,-79.03,78.8,3.36
156,puerto colombia,0,CO,1551938400,83,10.99,-74.96,77.0,18.34
157,tasiilaq,88,GL,1551940636,100,65.61,-37.64,17.69,17.47
158,bridlington,20,GB,1551940625,86,54.08,-0.19,43.0,19.46
159,mundo nuevo,0,CL,1551938400,67,-32.72,-71.41,57.2,3.36
160,floresti,0,MD,1551940637,81,47.89,28.3,31.24,6.96
161,luau,92,CD,1551940637,99,-10.7,22.23,64.09,2.71
162,smithers,90,CA,1551938400,67,54.78,-127.17,21.2,3.36
163,lagoa,0,PT,1551940328,93,37.14,-8.45,50.0,4.7
164,pontivy,75,FR,1551940575,81,48.06,-2.97,48.0,8.05
165,campos gerais,48,BR,1551940638,92,-21.23,-45.76,66.11,3.71
166,turiacu,32,BR,1551940638,92,-5.01,-63.0,77.59,2.93
167,ejido hermosillo,1,MX,1551940623,42,32.51,-114.92,68.0,3.49
168,kathmandu,20,NP,1551939600,42,27.71,85.32,66.2,3.36
169,huarmey,80,PE,1551940639,86,-10.07,-78.15,67.96,2.59
170,port hedland,0,AU,1551938400,38,-20.31,118.58,104.0,19.46
171,de-kastri,32,RU,1551940640,92,51.48,140.77,26.42,8.75
172,arti,56,RU,1551940640,82,56.43,58.53,20.35,16.24
173,novopokrovka,12,RU,1551940355,39,45.85,134.51,35.2,4.5
174,toora-khem,0,RU,1551940641,50,52.47,96.11,24.4,4.38
175,kautokeino,8,NO,1551940641,81,69.01,23.04,11.89,8.19
176,alghero,0,IT,1551937800,67,40.56,8.32,60.8,14.99
177,saint-augustin,92,FR,1551940570,81,44.83,-0.61,50.0,9.17
178,saint george,20,GR,1551940396,86,39.45,22.34,52.0,1.48
179,doha,0,QA,1551938400,49,25.29,51.53,71.6,20.8
180,neosho,1,US,1551940356,72,43.31,-88.52,21.2,9.64
181,jalu,0,LY,1551940564,76,29.03,21.55,47.8,2.82
182,bredasdorp,75,ZA,1551940300,68,-34.53,20.04,71.01,5.82
183,kangaatsiaq,36,GL,1551940644,100,68.31,-53.46,12.61,7.4
184,channel-port aux basques,8,CA,1551940644,100,47.57,-59.14,14.68,14.45
185,narsaq,75,GL,1551937800,34,60.91,-46.05,35.6,14.99
186,ishigaki,75,JP,1551938400,82,24.34,124.16,60.8,19.46
187,saint-pierre,75,FR,1551940625,87,48.95,4.24,48.2,23.04
188,ribeira grande,92,PT,1551940645,95,38.52,-28.7,61.93,17.58
189,hastings,0,NZ,1551940646,76,-39.64,176.84,72.73,11.21
190,vila franca do campo,75,PT,1551940600,93,37.72,-25.43,60.8,8.05
191,pevek,56,RU,1551940646,81,69.7,170.27,1.09,2.37
192,daokou,92,CN,1551940647,74,35.61,105.12,36.14,16.35
193,camargo,36,MX,1551940647,38,27.69,-105.17,53.74,4.38
194,souillac,92,FR,1551940570,81,45.6,-0.6,46.4,9.17
195,verkhnevilyuysk,64,RU,1551940648,61,63.45,120.31,22.69,10.65
196,paraiso,36,MX,1551940648,49,24.01,-104.61,53.24,5.17
197,san pedro,0,AR,1551940173,92,-33.68,-59.66,73.0,8.63
198,ancud,75,CL,1551938400,93,-41.87,-73.83,51.8,8.05
199,changde,92,CN,1551940650,98,29.04,111.68,45.91,11.54
200,almeria,20,ES,1551940516,50,36.84,-2.46,57.2,6.93
201,aitape,48,PG,1551940650,91,-3.15,142.36,82.94,5.95
202,bayangol,32,MN,1551940651,23,48.91,106.09,50.59,9.31
